:START_ID,executive,:END_ID,:TYPE
601058,董事长、董事,杜玉岱,:ACTED_IN
601058,董事长、董事,延万华,:ACTED_IN
601058,董事,宋军,:ACTED_IN
601058,董事,周天明,:ACTED_IN
601058,董事,王建业,:ACTED_IN
601058,董事,张必书,:ACTED_IN
601058,独立董事,丁乃秀,:ACTED_IN
601058,独立董事,谢岭,:ACTED_IN
601058,独立董事,刘树国,:ACTED_IN
600219,董事长、董事,程仁策,:ACTED_IN
600219,董事长、董事,宋昌明,:ACTED_IN
600219,董事,吕正风,:ACTED_IN
600219,董事,刘强,:ACTED_IN
600219,董事,刘春雷,:ACTED_IN
600219,董事,宋建波,:ACTED_IN
600219,独立董事,刘嘉厚,:ACTED_IN
600219,独立董事,张焕平,:ACTED_IN
600219,独立董事,黄利群,:ACTED_IN
300345,董事长、董事,朱红玉,:ACTED_IN
300345,董事长、董事,朱明楚,:ACTED_IN
300345,董事,罗德福,:ACTED_IN
300345,董事,曾江洪,:ACTED_IN
300345,独立董事,陈爱文,:ACTED_IN
300345,独立董事,熊政平,:ACTED_IN
600649,董事长、董事,汲广林,:ACTED_IN
600649,董事长、董事,陈帅,:ACTED_IN
600649,董事,金建敏,:ACTED_IN
600649,董事,苏凯,:ACTED_IN
600649,董事,孙昌宇,:ACTED_IN
600649,董事,全卓伟,:ACTED_IN
600649,独立董事,盛雷鸣,:ACTED_IN
600649,独立董事,薛涛,:ACTED_IN
600649,独立董事,严杰,:ACTED_IN
002287,董事长、董事,雷菊芳,:ACTED_IN
002287,董事长、董事,刘凯列,:ACTED_IN
002287,董事,索朗欧珠,:ACTED_IN
002287,董事,骆燮龙,:ACTED_IN
002287,独立董事,杜守颖,:ACTED_IN
002287,独立董事,李春瑜,:ACTED_IN
002287,独立董事,吴清功,:ACTED_IN
002268,董事长、董事,李成刚,:ACTED_IN
002268,董事长、董事,许晓平,:ACTED_IN
002268,董事,雷利民,:ACTED_IN
002268,董事,卿昱,:ACTED_IN
002268,董事,黄南平,:ACTED_IN
002268,董事,王虎,:ACTED_IN
002268,独立董事,曹德骏,:ACTED_IN
002268,独立董事,沈逸,:ACTED_IN
002268,独立董事,周玮,:ACTED_IN
603989,董事长、董事,艾立华,:ACTED_IN
603989,董事长、董事,王安安,:ACTED_IN
603989,董事,殷宝华,:ACTED_IN
603989,董事,艾立宇,:ACTED_IN
603989,独立董事,古群,:ACTED_IN
603989,独立董事,熊翔,:ACTED_IN
603989,独立董事,徐莉萍,:ACTED_IN
300200,董事长、董事,何宇飞,:ACTED_IN
300200,董事长、董事,王子平,:ACTED_IN
300200,董事,熊海涛,:ACTED_IN
300200,董事,张洋,:ACTED_IN
300200,独立董事,杨栩,:ACTED_IN
300200,独立董事,龙成凤,:ACTED_IN
300200,独立董事,黄书敏,:ACTED_IN
002638,董事长、董事,陈永洪,:ACTED_IN
002638,董事长、董事,贾茜,:ACTED_IN
002638,董事,邓军鸿,:ACTED_IN
002638,董事,陈文星,:ACTED_IN
002638,董事,黄锦波,:ACTED_IN
002638,董事,仲长昊,:ACTED_IN
002638,独立董事,王治强,:ACTED_IN
002638,独立董事,鞠新华,:ACTED_IN
002638,独立董事,钱可元,:ACTED_IN
000605,董事长、董事,江波,:ACTED_IN
000605,董事长、董事,刘瑞深,:ACTED_IN
000605,董事,徐宝平,:ACTED_IN
000605,董事,陶蕾,:ACTED_IN
000605,董事,周艺,:ACTED_IN
000605,董事,邢立斌,:ACTED_IN
000605,独立董事,韩晓萍,:ACTED_IN
000605,独立董事,郭家利,:ACTED_IN
000605,独立董事,朱虹,:ACTED_IN
002511,董事长、董事,邓颖忠,:ACTED_IN
002511,董事长、董事,邓冠彪,:ACTED_IN
002511,董事,周启超,:ACTED_IN
002511,董事,邓冠杰,:ACTED_IN
002511,董事,刘金锋,:ACTED_IN
002511,董事,曾怿,:ACTED_IN
002511,独立董事,黄洪燕,:ACTED_IN
002511,独立董事,何海地,:ACTED_IN
002511,独立董事,葛光锐,:ACTED_IN
300083,名誉董事长,王九全,:ACTED_IN
300083,名誉董事长,夏军,:ACTED_IN
300083,副董事长、董事,王建,:ACTED_IN
300083,副董事长、董事,何海江,:ACTED_IN
300083,独立董事,吴春庚,:ACTED_IN
300083,独立董事,郑毅,:ACTED_IN
600425,董事长、董事,郑术建,:ACTED_IN
600425,董事长、董事,宁沉浮,:ACTED_IN
600425,董事,李云新,:ACTED_IN
600425,董事,何云,:ACTED_IN
600425,独立董事,边新俊,:ACTED_IN
600425,独立董事,张磊,:ACTED_IN
600425,职工董事,高鹏,:ACTED_IN
300129,名誉董事长、董事,柳志成,:ACTED_IN
300129,名誉董事长、董事,张福林,:ACTED_IN
300129,副董事长、董事,黄京明,:ACTED_IN
300129,副董事长、董事,邹涛,:ACTED_IN
300129,董事,张锦楠,:ACTED_IN
300129,董事,夏权光,:ACTED_IN
300129,董事,窦建荣,:ACTED_IN
300129,董事,程泓宁,:ACTED_IN
300129,独立董事,金之俭,:ACTED_IN
300129,独立董事,葛其泉,:ACTED_IN
300129,独立董事,李苒洲,:ACTED_IN
