c_name:ID,:LABEL
综合行业,Industry
公路桥梁,Industry
化纤行业,Industry
机械行业,Industry
生物制药,Industry
石油行业,Industry
玻璃行业,Industry
仪器仪表,Industry
交通运输,Industry
飞机制造,Industry
农林牧渔,Industry
建筑建材,Industry
塑料制品,Industry
商业百货,Industry
纺织行业,Industry
医疗器械,Industry
有色金属,Industry
供水供气,Industry
发电设备,Industry
造纸行业,Industry
船舶制造,Industry
煤炭行业,Industry
食品行业,Industry
陶瓷行业,Industry
纺织机械,Industry
钢铁行业,Industry
环保行业,Industry
酿酒行业,Industry
次新股,Industry
电器行业,Industry
传媒娱乐,Industry
化工行业,Industry
房地产,Industry
金融行业,Industry
其它行业,Industry
开发区,Industry
电子信息,Industry
服装鞋类,Industry
电子器件,Industry
电力行业,Industry
汽车制造,Industry
家具行业,Industry
农药化肥,Industry
酒店旅游,Industry
水泥行业,Industry
物资外贸,Industry
摩托车,Industry
印刷包装,Industry
家电行业,Industry
