:START_ID,:END_ID,concept,:TYPE
600007,外资背景,概念,:ACTED_IN
600114,外资背景,概念,:ACTED_IN
600132,外资背景,概念,:ACTED_IN
600182,外资背景,概念,:ACTED_IN
600595,外资背景,概念,:ACTED_IN
600641,外资背景,概念,:ACTED_IN
600779,外资背景,概念,:ACTED_IN
600801,外资背景,概念,:ACTED_IN
600819,外资背景,概念,:ACTED_IN
000001,外资背景,概念,:ACTED_IN
000005,外资背景,概念,:ACTED_IN
000541,外资背景,概念,:ACTED_IN
000608,外资背景,概念,:ACTED_IN
000659,外资背景,概念,:ACTED_IN
000869,外资背景,概念,:ACTED_IN
000895,外资背景,概念,:ACTED_IN
000932,外资背景,概念,:ACTED_IN
000935,外资背景,概念,:ACTED_IN
002032,外资背景,概念,:ACTED_IN
002047,外资背景,概念,:ACTED_IN
600023,核电核能,概念,:ACTED_IN
600089,核电核能,概念,:ACTED_IN
600202,核电核能,概念,:ACTED_IN
600226,核电核能,概念,:ACTED_IN
600269,核电核能,概念,:ACTED_IN
600292,核电核能,概念,:ACTED_IN
600307,核电核能,概念,:ACTED_IN
600328,核电核能,概念,:ACTED_IN
600416,核电核能,概念,:ACTED_IN
600483,核电核能,概念,:ACTED_IN
600516,核电核能,概念,:ACTED_IN
600550,核电核能,概念,:ACTED_IN
600558,核电核能,概念,:ACTED_IN
600622,核电核能,概念,:ACTED_IN
600642,核电核能,概念,:ACTED_IN
600848,核电核能,概念,:ACTED_IN
600875,核电核能,概念,:ACTED_IN
600973,核电核能,概念,:ACTED_IN
601106,核电核能,概念,:ACTED_IN
601179,核电核能,概念,:ACTED_IN
601369,核电核能,概念,:ACTED_IN
601611,核电核能,概念,:ACTED_IN
601727,核电核能,概念,:ACTED_IN
601877,核电核能,概念,:ACTED_IN
601985,核电核能,概念,:ACTED_IN
601991,核电核能,概念,:ACTED_IN
603100,核电核能,概念,:ACTED_IN
603169,核电核能,概念,:ACTED_IN
603308,核电核能,概念,:ACTED_IN
603699,核电核能,概念,:ACTED_IN
000777,核电核能,概念,:ACTED_IN
000825,核电核能,概念,:ACTED_IN
