:START_ID,:END_ID,belong,:TYPE
600051,综合行业,行业,:ACTED_IN
600209,综合行业,行业,:ACTED_IN
600212,综合行业,行业,:ACTED_IN
600256,综合行业,行业,:ACTED_IN
600576,综合行业,行业,:ACTED_IN
600603,综合行业,行业,:ACTED_IN
600614,综合行业,行业,:ACTED_IN
600620,综合行业,行业,:ACTED_IN
600622,综合行业,行业,:ACTED_IN
600624,综合行业,行业,:ACTED_IN
600647,综合行业,行业,:ACTED_IN
600656,综合行业,行业,:ACTED_IN
600687,综合行业,行业,:ACTED_IN
600701,综合行业,行业,:ACTED_IN
600730,综合行业,行业,:ACTED_IN
600770,综合行业,行业,:ACTED_IN
600777,综合行业,行业,:ACTED_IN
600800,综合行业,行业,:ACTED_IN
600805,综合行业,行业,:ACTED_IN
600811,综合行业,行业,:ACTED_IN
600832,综合行业,行业,:ACTED_IN
600846,综合行业,行业,:ACTED_IN
600892,综合行业,行业,:ACTED_IN
000008,综合行业,行业,:ACTED_IN
000301,综合行业,行业,:ACTED_IN
000576,综合行业,行业,:ACTED_IN
000632,综合行业,行业,:ACTED_IN
000633,综合行业,行业,:ACTED_IN
000652,综合行业,行业,:ACTED_IN
000701,综合行业,行业,:ACTED_IN
000839,综合行业,行业,:ACTED_IN
000881,综合行业,行业,:ACTED_IN
000909,综合行业,行业,:ACTED_IN
600003,公路桥梁,行业,:ACTED_IN
600012,公路桥梁,行业,:ACTED_IN
600020,公路桥梁,行业,:ACTED_IN
600033,公路桥梁,行业,:ACTED_IN
600035,公路桥梁,行业,:ACTED_IN
600106,公路桥梁,行业,:ACTED_IN
600269,公路桥梁,行业,:ACTED_IN
600350,公路桥梁,行业,:ACTED_IN
600368,公路桥梁,行业,:ACTED_IN
600377,公路桥梁,行业,:ACTED_IN
600548,公路桥梁,行业,:ACTED_IN
601107,公路桥梁,行业,:ACTED_IN
601188,公路桥梁,行业,:ACTED_IN
601518,公路桥梁,行业,:ACTED_IN
000429,公路桥梁,行业,:ACTED_IN
000548,公路桥梁,行业,:ACTED_IN
000828,公路桥梁,行业,:ACTED_IN
000886,公路桥梁,行业,:ACTED_IN
000900,公路桥梁,行业,:ACTED_IN
000916,公路桥梁,行业,:ACTED_IN
600061,化纤行业,行业,:ACTED_IN
600063,化纤行业,行业,:ACTED_IN
600527,化纤行业,行业,:ACTED_IN
600810,化纤行业,行业,:ACTED_IN
600889,化纤行业,行业,:ACTED_IN
601113,化纤行业,行业,:ACTED_IN
601233,化纤行业,行业,:ACTED_IN
000420,化纤行业,行业,:ACTED_IN
000584,化纤行业,行业,:ACTED_IN
000615,化纤行业,行业,:ACTED_IN
000677,化纤行业,行业,:ACTED_IN
000687,化纤行业,行业,:ACTED_IN
000703,化纤行业,行业,:ACTED_IN
000782,化纤行业,行业,:ACTED_IN
000936,化纤行业,行业,:ACTED_IN
000949,化纤行业,行业,:ACTED_IN
000976,化纤行业,行业,:ACTED_IN
002015,化纤行业,行业,:ACTED_IN
002064,化纤行业,行业,:ACTED_IN
002080,化纤行业,行业,:ACTED_IN
002172,化纤行业,行业,:ACTED_IN
002206,化纤行业,行业,:ACTED_IN
002254,化纤行业,行业,:ACTED_IN
002427,化纤行业,行业,:ACTED_IN
002493,化纤行业,行业,:ACTED_IN
300180,化纤行业,行业,:ACTED_IN
600031,机械行业,行业,:ACTED_IN
600114,机械行业,行业,:ACTED_IN
600149,机械行业,行业,:ACTED_IN
600169,机械行业,行业,:ACTED_IN
600218,机械行业,行业,:ACTED_IN
600243,机械行业,行业,:ACTED_IN
600262,机械行业,行业,:ACTED_IN
600320,机械行业,行业,:ACTED_IN
600346,机械行业,行业,:ACTED_IN
600388,机械行业,行业,:ACTED_IN
600421,机械行业,行业,:ACTED_IN
600435,机械行业,行业,:ACTED_IN
600475,机械行业,行业,:ACTED_IN
600499,机械行业,行业,:ACTED_IN
600520,机械行业,行业,:ACTED_IN
600526,机械行业,行业,:ACTED_IN
600579,机械行业,行业,:ACTED_IN
600582,机械行业,行业,:ACTED_IN
600592,机械行业,行业,:ACTED_IN
600619,机械行业,行业,:ACTED_IN
600710,机械行业,行业,:ACTED_IN
600761,机械行业,行业,:ACTED_IN
600765,机械行业,行业,:ACTED_IN
600806,机械行业,行业,:ACTED_IN
600815,机械行业,行业,:ACTED_IN
600841,机械行业,行业,:ACTED_IN
600855,机械行业,行业,:ACTED_IN
600860,机械行业,行业,:ACTED_IN
600984,机械行业,行业,:ACTED_IN
601002,机械行业,行业,:ACTED_IN
601038,机械行业,行业,:ACTED_IN
601100,机械行业,行业,:ACTED_IN
601106,机械行业,行业,:ACTED_IN
601177,机械行业,行业,:ACTED_IN
601218,机械行业,行业,:ACTED_IN
601226,机械行业,行业,:ACTED_IN
601268,机械行业,行业,:ACTED_IN
601369,机械行业,行业,:ACTED_IN
601608,机械行业,行业,:ACTED_IN
601717,机械行业,行业,:ACTED_IN
601798,机械行业,行业,:ACTED_IN
603011,机械行业,行业,:ACTED_IN
603012,机械行业,行业,:ACTED_IN
603088,机械行业,行业,:ACTED_IN
603169,机械行业,行业,:ACTED_IN
603308,机械行业,行业,:ACTED_IN
603315,机械行业,行业,:ACTED_IN
603318,机械行业,行业,:ACTED_IN
603338,机械行业,行业,:ACTED_IN
603355,机械行业,行业,:ACTED_IN
603698,机械行业,行业,:ACTED_IN
603699,机械行业,行业,:ACTED_IN
603789,机械行业,行业,:ACTED_IN
000039,机械行业,行业,:ACTED_IN
000157,机械行业,行业,:ACTED_IN
000404,机械行业,行业,:ACTED_IN
000410,机械行业,行业,:ACTED_IN
000425,机械行业,行业,:ACTED_IN
000519,机械行业,行业,:ACTED_IN
000528,机械行业,行业,:ACTED_IN
000530,机械行业,行业,:ACTED_IN
000551,机械行业,行业,:ACTED_IN
000570,机械行业,行业,:ACTED_IN
000595,机械行业,行业,:ACTED_IN
000617,机械行业,行业,:ACTED_IN
000678,机械行业,行业,:ACTED_IN
000680,机械行业,行业,:ACTED_IN
