beneficial	有益的
firm	公司
civilization	文明
contain	包含
gather	聚集
grave	坟墓
case	案例
suffer	遭受
burglar	窃贼
grain	粮食
embarrass	尴尬
advanced	先进的
in spite of	尽管
representative	代表
vacant	空闲的
feature	特征
namely	即
experiment	实验
construct	建造
dusk	黄昏
urgent	紧急的
criticize	批评
persuade	说服
addicted	上瘾的
slight	轻微的
attract	吸引
atmosphere	气氛
pit	矿井
oral	口头的
expect	期待
rank	等级
sponsor	赞助商
capital	首都
reduce	减少
religious	宗教的
military	军事的
express	表达
pave	铺砌
elementary	初级的
declare	声明
urban	城市的
defeat	击败
delighted	高兴的
tune	曲调
progress	进步
pray	祈祷
harvest	收获
excuse	借口
gesture	手势
spare	备用的
dial	拨号
stretch	伸展
accurate	精确的
regular	有规律的
enthusiastic	热情的
pause	暂停
logic	逻辑
suppose	假设
conservative	保守的
aware	意识到的
expert	专家
relate	有联系
organ	器官
struggle	斗争
spot	地点
slender	细长的
nervous	焦虑的
constrast	对比
colleague	同事
staff	工作人员
conversation	会话
chart	图表
database	数据库
vendor	小贩
elbow	肘部
aspect	方面
lack	缺乏
despite	尽管
satisfy	满足
judge	法官
stack	堆栈
suburb	郊区
divorce	离婚
employ	雇用
cruel	残酷的
long-term	长期的
disadvantage	缺点
course	课程
fellow	同伴
differ	相异
observe	观察
admit	承认
race	比赛
affair	事件
stripe	条纹
content	内容
literature	文学
oppose	反对
proper	适当的
strap	带子
ritual	仪式
appointment	约会
secretary	秘书
decorate	装饰
limit	限制
beneath	在下方
chew	咀嚼
represent	代表
roast	烤
accept	接受
plug	插头
evidence	证据
minor	少数的
analyze	分析
recommend	推荐
handy	方便的
symbol	符号
crowd	人群
conference	会议
illegal	非法的
demand	需要
progressive	进步的
frustrate	挫败
character	性格
budget	预算
breakthrough	突破
due to	由于
furry	毛茸茸的
insurance	保险
absolute	绝对的
parcel	包裹
somewhat	有点
insult	侮辱
due	由于
patent	专利
object	对象
dull	迟钝的
afford	负担得起
register	登记
undergraduate	大学生
comment	评论
contribute	贡献
phrase	短语
rust	锈
approve	批准
banner	横幅
departure	离开
fine	好的
remove	去除
academic	学术的
refuse	拒绝
custom	习俗
shrug	耸肩
sore	疼痛的
economy	经济
cure	治愈
somehow	以某种方式
flood	洪水
abroad	国外
smash	粉碎
tear	撕裂
operate	操作
strarve	斜线
status	地位
purpose	目的
fee	费用
